Year,Sex,Age,Incidence Rate,Incident Cases,Population at Risk,Standard Error
2004,BOTH,ALL,16.864,545.0,3231690.8803000003,0.7200000000000001
2004,BOTH,00to19,0.575,5.0,870172.89696,0.26
2004,BOTH,20to24,10.833,27.0,249228.29131,2.08
2004,BOTH,25to29,19.259000000000004,47.0,244036.08981,2.81
2004,BOTH,30to34,30.035,72.0,239723.94588,3.54
2004,BOTH,35to39,35.819,87.0,242887.59112,3.8400000000000003
2004,BOTH,40to44,32.742000000000004,92.0,280986.36764,3.41
2004,BOTH,45to49,27.882,74.0,265401.90031,3.24
2004,BOTH,50to54,31.28,67.0,214195.59234,3.8200000000000003
2004,BOTH,55to59,17.735,30.0,169158.96934,3.24
2004,BOTH,60to64,13.915000000000001,17.0,122174.16758000001,3.37
2004,BOTH,65to69,7.2410000000000005,7.0,96677.052699,2.74
2004,BOTH,70to74,9.408,8.0,85035.178776,3.33
2004,BOTH,75to79,10.422,7.0,67163.299829,3.9400000000000004
2004,BOTH,80to84,10.469000000000001,5.0,47758.742875,4.680000000000001
2004,BOTH,85+,0.0,0.0,37090.793853,5.390000000000001
2004,FEMALE,ALL,23.594,376.0,1593655.5862,1.2200000000000002
2004,FEMALE,00to19,0.7110000000000001,3.0,421780.95358000003,0.41000000000000003
2004,FEMALE,20to24,15.861,19.0,119790.16084000001,3.64
2004,FEMALE,25to29,32.627,38.0,116469.32854,5.29
2004,FEMALE,30to34,47.667,55.0,115383.71935000001,6.430000000000001
2004,FEMALE,35to39,47.371,56.0,118215.00264,6.330000000000001
2004,FEMALE,40to44,43.546,60.0,137785.14543,5.62
2004,FEMALE,45to49,36.309000000000005,47.0,129446.25966000001,5.300000000000001
2004,FEMALE,50to54,47.606,50.0,105029.32431,6.73
2004,FEMALE,55to59,23.849,20.0,83860.803165,5.330000000000001
2004,FEMALE,60to64,19.691000000000003,12.0,60941.695640000005,5.680000000000001
2004,FEMALE,65to69,10.105000000000002,5.0,49480.042305,4.52
2004,FEMALE,70to74,6.7780000000000005,3.0,44259.326848000004,3.91
2004,FEMALE,75to79,10.813,4.0,36992.745064,5.41
2004,FEMALE,80to84,13.879000000000001,4.0,28820.222114,6.94
2004,FEMALE,85+,0.0,0.0,25400.856687000003,7.870000000000001
2004,MALE,ALL,10.317,169.0,1638035.2941000003,0.79
2004,MALE,00to19,0.446,2.0,448391.94338,0.32000000000000006
2004,MALE,20to24,6.181000000000001,8.0,129438.13047,2.19
2004,MALE,25to29,7.055,9.0,127566.76127000002,2.35
2004,MALE,30to34,13.672,17.0,124340.22653000001,3.3200000000000003
2004,MALE,35to39,24.865000000000002,31.0,124672.58848,4.470000000000001
2004,MALE,40to44,22.346,32.0,143201.22221,3.95
2004,MALE,45to49,19.859,27.0,135955.64065000002,3.8200000000000003
2004,MALE,50to54,15.573,17.0,109166.26803,3.7800000000000002
2004,MALE,55to59,11.724,10.0,85298.166173,3.71
2004,MALE,60to64,8.166,5.0,61232.471941,3.65
2004,MALE,65to69,4.238,2.0,47197.010394,3.0
2004,MALE,70to74,12.262,5.0,40775.851928000004,5.48
2004,MALE,75to79,9.943,3.0,30170.554765,5.74
2004,MALE,80to84,5.28,1.0,18938.520761,5.28
2004,MALE,85+,0.0,0.0,11689.937166000002,17.1
2005,BOTH,ALL,15.689000000000002,520.0,3314378.2672,0.6900000000000001
2005,BOTH,00to19,0.454,4.0,880794.51742,0.23
2005,BOTH,20to24,9.650000000000002,25.0,259072.57771,1.9300000000000002
2005,BOTH,25to29,16.201,41.0,253072.67615,2.53
2005,BOTH,30to34,25.681,63.0,245318.46560000003,3.24
2005,BOTH,35to39,30.773000000000003,75.0,243723.12642000002,3.55
2005,BOTH,40to44,31.262000000000004,88.0,281488.7382,3.33
2005,BOTH,45to49,31.853,87.0,273126.41432000004,3.4200000000000004
2005,BOTH,50to54,25.138,57.0,226751.91082000002,3.33
2005,BOTH,55to59,14.450000000000001,26.0,179927.95133,2.83
2005,BOTH,60to64,16.375,21.0,128241.94349,3.57
2005,BOTH,65to69,15.160000000000002,15.0,98945.806849,3.91
2005,BOTH,70to74,8.158,7.0,85807.377612,3.08
2005,BOTH,75to79,12.938,9.0,69563.065249,4.31
2005,BOTH,80to84,2.044,1.0,48917.358945,2.04
2005,BOTH,85+,2.524,1.0,39626.337049,2.52
2005,FEMALE,ALL,24.122,394.0,1633375.9982,1.2200000000000002
2005,FEMALE,00to19,0.7030000000000001,3.0,426956.799,0.41000000000000003
2005,FEMALE,20to24,15.301,19.0,124175.13032000001,3.51
2005,FEMALE,25to29,24.799000000000003,30.0,120971.1156,4.53
2005,FEMALE,30to34,47.483000000000004,56.0,117936.11114000001,6.3500000000000005
2005,FEMALE,35to39,48.217000000000006,57.0,118216.56989,6.390000000000001
2005,FEMALE,40to44,48.48800000000001,67.0,138178.41632,5.92
2005,FEMALE,45to49,51.726000000000006,69.0,133394.05957,6.23
2005,FEMALE,50to54,38.765,43.0,110925.96911,5.91
2005,FEMALE,55to59,17.992,16.0,88927.93521600001,4.5
2005,FEMALE,60to64,25.028,16.0,63928.850430000006,6.26
2005,FEMALE,65to69,15.809000000000001,8.0,50604.034841,5.59
2005,FEMALE,70to74,6.7090000000000005,3.0,44716.427338,3.87
2005,FEMALE,75to79,15.8,6.0,37975.682408,6.45
2005,FEMALE,80to84,0.0,0.0,29402.869054000003,6.800000000000001
2005,FEMALE,85+,3.6950000000000003,1.0,27066.027981,3.69
2005,MALE,ALL,7.496,126.0,1681002.269,0.6700000000000002
2005,MALE,00to19,0.22,1.0,453837.71843,0.22
2005,MALE,20to24,4.448,6.0,134897.44738,1.82
